,id do pedido,Origem,Destino
852,194136,03622-010,70277-170
853,194146,89210-145,15080-170
854,194147,74430-120,21911-310
855,194149,15086-010,08770-320
856,194173,14701-550,19273-000
857,194175,03989-010,13280-154
858,194178,31030-035,90110-903
859,194181,78085-000,64002-150
860,194206,03345-000,08840-030
861,194219,14405-268,89108-000
862,194225,14701-550,29055-350
863,194256,29313-656,68250-000
864,194289,18043-003,24436-660
865,194290,99700-392,24436-660
866,194302,13800-700,01155-040
867,194304,03622-010,35740-000
868,194309,12090-600,05303-000
869,194316,13800-700,07230-260
870,194317,13800-700,07230-260
871,194320,03622-010,08210-060
872,194324,14701-550,93410-180
873,194331,03622-010,01409-900
874,194343,13800-700,07230-260
875,194347,03622-010,14790-000
876,194349,14701-550,05174-040
877,194354,16204-061,04756-010
878,194365,37800-000,15030-000
879,194371,03134-001,22451-265
880,194375,30710-010,37800-000
881,194376,74645-170,37800-000
882,194384,18540-000,13901-051
883,194388,03622-010,19050-120
884,194391,03622-010,85901-010
885,194395,35900-700,37464-000
886,194396,74430-130,37464-000
887,194397,23073-200,21221-150
888,194403,74430-120,06355-530
889,194406,74430-120,93010-280
890,194419,90650-002,25745-071
891,194421,89210-145,02068-050
892,194442,23073-200,59090-400
893,194468,03989-010,03968-030
894,194474,89600-000,93700-000
895,194494,78085-000,64002-150
896,194495,78085-000,64002-150
897,194509,72007-515,04217-010
898,194510,04344-010,36220-000
899,194511,37800-000,12140-000
900,194518,74430-130,73070-045
901,194521,30421-284,04217-010
902,194526,02959-000,13604-304
903,194530,13800-700,12403-610
904,194548,23073-200,13140-101
905,194549,13070-752,13140-101
906,194552,74430-120,09930-450
907,194559,02712-140,12502-220
908,194565,09351-090,03968-030
909,194566,82820-090,03476-000
910,194567,06463-170,17900-000
911,194585,13800-700,05835-004
912,194588,03622-010,37800-000
913,194589,04378-300,37800-000
914,194590,44640-000,46350-000
915,194617,03989-010,13770-000
916,194630,14701-550,26600-000
917,194648,03134-001,02834-080
918,194655,03345-000,02995-100
919,194679,03622-010,14270-000
920,194688,14701-550,14140-000
921,194691,38400-358,03986-250
922,194693,04378-300,13150-704
923,194695,03186-030,28740-000
924,194696,14021-000,28740-000
925,194697,03526-000,03666-060
926,194698,03526-000,03666-060
927,194699,09351-090,09530-300
928,194701,03659-130,09726-280
