,Unnamed: 0,id do pedido,Origem,Destino,Distancia
563,563,197803,09351-090,24804-781,494495.3
564,564,197944,06075-180,90050-030,1121814.4
565,565,198426,03622-010,90050-030,1156604.1
566,566,198618,03622-010,90050-030,1156604.1
567,567,198743,04715-002,24350-380,472492.9
568,568,199383,31030-035,03889-100,590862.2
569,569,200016,82820-090,09423-110,419071.4
570,570,200281,03622-010,90050-030,1156604.1
571,571,200903,35701-004,08633-435,666859.3
572,572,201761,23073-200,11086-400,453537.1
573,573,202565,04715-002,75460000,986988.2
574,574,202716,90650-002,01231-010,1131372.8
575,575,202980,91790-042,88032-005,473038.4
576,576,203320,03622-010,90050-030,1156604.1
577,577,203562,03622-010,90050-030,1156604.1
578,578,204039,03622-010,90050-030,1156604.1
579,579,204050,13101-150,90050-030,1209109.5
580,580,204162,35701-004,13170-741,661838.6
581,581,204310,13101-150,24421-300,506598.6
582,582,201786,09351-090,28635-350,559638.1
583,583,192557,14701-550,15910-000,53088.9
584,584,196460,03622-010,07417-395,29760.7
585,585,199650,03221-000,05729-080,24838.1
586,586,200278,03047-000,13329-120,128224.6
587,587,201065,03047-000,18460-000,360907.6
588,588,203064,35701-004,24421-300,524535.1
589,589,205684,19800-130,13562-110,336841.7
590,590,199422,02721-200,09050-210,30150.1
591,591,195313,14701-550,14806-245,117342.2
592,592,192633,04344-010,18170-000,110524.4
593,593,195165,06703-001,05174-040,32587.1
594,594,197152,12010-150,12231-811,46294.4
595,595,199167,12010-150,26291-248,267067.9
596,596,203051,04344-010,08840-030,78669.4
597,597,204284,12010-150,09350-340,144613.2
598,598,200059,02552-000,08740-040,64146.4
599,599,198806,80220-031,85065-170,256530.1
600,600,201528,37800-000,35430-286,572434.8
601,601,192921,02419-030,12236-500,98359.4
602,602,193863,04344-010,41640-410,1950421.7
603,603,194184,35701-004,42600-000,1314411.8
604,604,194222,72007-515,13216-000,959289.0
605,605,194738,74430-120,30380-560,881646.0
606,606,194816,82820-090,25745-701,889066.0
607,607,195137,03711-007,43820-020,1890656.7
608,608,195409,72007-515,13088-658,920940.5
609,609,195664,72007-515,01451-000,1010407.2
610,610,197728,72007-515,04543-000,1011728.6
611,611,198992,72252-098,07085-410,1027539.5
612,612,199231,74430-130,35701-373,817788.4
613,613,199683,79004-430,03931-030,1022856.6
614,614,200457,72007-515,06421-060,1006465.8
615,615,200752,74430-120,79052-440,841118.1
616,616,201205,31030-035,40830-450,1339990.7
617,617,201321,31030-035,40830-450,1339990.7
618,618,203450,35701-004,88040-600,1334375.0
619,619,203901,79004-430,80530-020,997837.5
620,620,204183,74070-150,79052-564,844128.1
621,621,198726,13403-000,22730-180,552893.8
622,622,194704,35900-700,37480-000,456619.7
623,623,196437,37500-176,03666-060,251343.2
624,624,202776,37500-176,06020194,272181.2
625,625,192495,14701-550,02618-120,381238.4
626,626,192560,03989-010,12800-000,233540.4
627,627,194740,04344-010,19880-000,439314.1
